Time,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Sampling rate
1.3438,-4.2517,-4.3614,-3.5453,-13.886,-8.843,-21.205,-21.973,-28.104,-33.934,-23.501,
1.3516,-0.78609,-3.6065,0.15795,-7.5649,-4.4312,-22.108,-21.735,-24.674,-29.683,-19.039,
1.3594,5.1004,-0.30853,3.1286,-3.2114,-0.72841,-26.067,-22.113,-26.076,-34.408,-21.938,
1.3672,-0.846,-4.4633,-4.6426,-13.807,-9.3409,-27.617,-23.411,-26.816,-34.068,-23.501,
1.375,-0.34062,1.5651,0.83918,-6.8695,-1.3819,-17.509,-13.865,-18.596,-23.421,-11.06,
1.3828,-6.1518,-2.335,-4.4596,-12.421,-7.6332,-21.557,-18.383,-23.559,-32.189,-18.656,
1.3906,-1.8086,-2.5934,-3.2155,-9.437,-8.4957,-24.649,-19.594,-27.194,-31.861,-20.906,
1.3984,-8.2302,-4.9348,-10.403,-21.516,-8.823,-26.974,-20.378,-26.318,-32.003,-18.013,
1.4063,3.9001,-0.42323,-2.7774,-9.426,-2.2094,-22.188,-16.15,-22.364,-28.064,-13.585,
1.4141,-8.3288,-6.4283,-10.963,-13.177,-7.5703,-21.457,-21.051,-26.856,-32.653,-20.848,
1.4219,-8.0809,-6.6964,-7.988,-11.294,-3.3397,-26.329,-23.371,-27.219,-33.044,-22.266,
1.4297,3.2176,0.48561,0.73058,-3.9704,0.98807,-21.279,-17.654,-22.204,-31.462,-17.642,
1.4375,7.3091,6.3811,2.6539,-4.215,3.8114,-12.219,-11.351,-16.233,-27.115,-12.738,
1.4453,9.81,11.262,9.2828,0.97862,10.604,-14.43,-8.1118,-14.178,-30.254,-10.088,
1.4531,2.329,3.9262,1.8189,-9.651,0.3603,-17.47,-12.126,-16.975,-31.943,-14.631,
1.4609,3.6405,-1.2365,0.35903,-5.9966,-3.1839,-23.907,-18.037,-21.905,-32.731,-18.431,
1.4688,5.3441,-2.4232,1.0377,-4.0659,-3.4684,-28.496,-23.21,-27.564,-41.815,-23.283,
1.4766,11.992,1.4337,5.8655,-1.6071,-0.78099,-28.914,-23.953,-29.674,-44.8,-25.665,
1.4844,-1.9685,-2.6784,-2.6048,-9.8265,-2.4249,-30.755,-24.172,-29.22,-41.201,-23.466,
1.4922,-1.542,-0.44824,-1.906,-8.3857,-2.8935,-26.818,-19.906,-25.042,-41.384,-18.506,
1.5,3.8254,1.3204,0.43517,-6.3494,-1.6354,-19.956,-14.323,-17.447,-30.573,-13.586,
1.5078,1.1841,0.75798,-1.4809,-5.8954,-3.8883,-18.537,-14.33,-17.35,-30.159,-11.467,
1.5156,4.904,1.3361,-0.20634,-9.9813,-0.54253,-18.409,-14.323,-15.174,-26.58,-7.6437,
1.5234,-1.8593,-5.421,-7.3822,-17.477,-5.6003,-25.794,-21.54,-25.093,-36.771,-18.732,
